ID	Positive_score	Negative_score	Content
158	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
159	2	0	RT @Avengers: In ten days, destiny arrives. Get your tickets to Marvel Studios' "Avengers: #InfinityWar" now: https://t.co/kctg8VkHan https…
160	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
161	2	0	RT @theblackpanther: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/4vH4cuj2ZU…
162	0	0	10 More Days until #AvengersInfinityWar #InfinityWar 🤗🤗🤗 @elaine_judson @CapSteveRo @KyloRenSL https://t.co/RduAK06d01
163	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
164	1	0	@MarvelStudios @Marvel Everything you know. Everything you love. Tell us how you started your journey through the M… https://t.co/W5dz964HAZ
165	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
166	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
167	1	0	RT @MarvelStudios: It’s all been leading to this. @Avengers: #InfinityWar #IronMan https://t.co/inCRjbtksd
168	2	0	RT @Avengers: In ten days, destiny arrives. Get your tickets to Marvel Studios' "Avengers: #InfinityWar" now: https://t.co/kctg8VkHan https…
169	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
170	0	0	RT @alexleo2807: I was hooked &amp; never let go... even to this day, I’m here still clinging onto @RobertDowneyJr &amp; I hope that someday I coul…
171	1	1	@MarvelStudios @Avengers Love it! This #Avengers + #InfinityWar crush starts thx to by bro @andresfergarcia and… https://t.co/0cVZdDquhs
172	2	0	RT @Avengers: In ten days, destiny arrives. Get your tickets to Marvel Studios' "Avengers: #InfinityWar" now: https://t.co/kctg8VkHan https…
173	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
174	0	0	@MarvelStudios @Marvel I started with Iron man and have been a fan of him ever since, please don’t take away my fav… https://t.co/B4uc7Swwoa
175	0	0	RT @MarvelStudios: 10 Days until @Avengers: #InfinityWar. Get tickets now: https://t.co/xQsJemiGws
176	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
177	2	0	RT @DrStrange: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/4Ud3pIbq13 https…
178	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
179	0	0	RT @cyanwhisky: #infinitywar #Mantis  umm... looks familiar🙃??? https://t.co/zFBLr5JNKQ
180	3	0	RT @alexleo2807: I would like to Thank him &amp; I hope that one day, I can meet him. @RobertDowneyJr is a real hero, not because he plays one…
181	2	0	RT @theblackpanther: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/4vH4cuj2ZU…
182	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
183	0	0	@MarvelStudios Little kid x-men comics #Avengers + #InfinityWar @gofooji
184	1	0	RT @Avengers: It’s all been leading to this. #InfinityWar #CaptainAmerica https://t.co/yVO9HG3paT
185	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
186	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
187	0	0	@MarvelStudios I was just a teen watching iron man back in 2008! No I got a family! #avengers #InfinityWar
188	2	0	RT @Marvel: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/UiS1rbHQrS https://…
189	1	0	RT @MarvelStudios: @TheEmanMM Ready? Let's go. https://t.co/gazKxgtoIz #Avengers #InfinityWar #10Days
190	0	0	RT @cyanwhisky: #InfinityWar / get this man a shield☝️!!!! https://t.co/iq44evRWDr
191	2	0	RT @Avengers: In ten days, destiny arrives. Get your tickets to Marvel Studios' "Avengers: #InfinityWar" now: https://t.co/kctg8VkHan https…
