ID	Positive_score	Negative_score	Content
172	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
173	2	0	@MarvelStudios #Avengers + #InfinityWar started 2012 since i was introduced to the avengers movie by my best friend, im forever grateful
174	0	0	An entire universe. Once and for all #Avengers #InfinityWar
175	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
176	0	0	NY, BOS, PHL, DC, PGH, ATL, CHI, VEGAS, SF, LA 👋 The wait is over, Infinity War is here 🙌 Tweet #Avengers… https://t.co/lDZi722iRJ
177	1	0	#Avengers #InfinityWar for a chance to win an Avengers surprise 🎁
178	0	0	An entire universe. Once and for all #Avengers #InfinityWar
179	2	0	RT @Avengers: In ten days, destiny arrives. Get your tickets to Marvel Studios' "Avengers: #InfinityWar" now: https://t.co/kctg8VkHan https…
180	2	0	RT @Marvel: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/UiS1rbHQrS https://…
181	0	0	NY, BOS, PHL, DC, PGH, ATL, CHI, VEGAS, SF, LA 👋 The wait is over, Infinity War is here 🙌 Tweet #Avengers… https://t.co/BSqK6R1DmB
182	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
183	0	0	NY, BOS, PHL, DC, PGH, ATL, CHI, VEGAS, SF, LA 👋 The wait is over, Infinity War is here 🙌 Tweet #Avengers… https://t.co/UIKEt1Okwf
184	1	0	@gofooji Yessssss. So ready. #Avengers #InfinityWar
185	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
186	0	0	RT @gofooji: NY, BOS, PHL, DC, PGH, ATL, CHI, VEGAS, SF, LA 👋 The wait is over, Infinity War is here 🙌 Tweet #Avengers #InfinityWar for a c…
187	0	0	An entire universe. Once and for all #Avengers #InfinityWar
188	0	0	RT @gofooji: NY, BOS, PHL, DC, PGH, ATL, CHI, VEGAS, SF, LA 👋 The wait is over, Infinity War is here 🙌 Tweet #Avengers #InfinityWar for a c…
189	2	0	RT @Guardians: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/GRQn6YfNq3 https…
190	0	0	RT @GeeksOfColor: Check out this new 'Avengers: Infinity War' poster for Moviebill! #InfinityWar https://t.co/qTAJHqo7Wt
191	2	0	RT @Marvel: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/UiS1rbHQrS https://…
192	0	0	An entire universe. Once and for all #Avengers #InfinityWar
193	0	0	@MarvelStudios Started when my older brothers too us to go see Iron Man, I didn’t want to go but look at me now! #Avengers + #InfinityWar
194	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJemiGws
195	1	0	RT @Akkiontop: Rcb Bowler Reaction Right Now 
#MIvRCB #Bharat #IPL2018 #HBDChiyaanVikram #InfinityWar https://t.co/RMoadXXzUg
196	0	0	RT @MatthewACherry: .@Marvel really giving us #BlackPanther and #InfinityWar back to back in a 2 month span https://t.co/nsD711LNTQ
197	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJemiGws
198	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
199	1	0	RT @MarvelStudios: Everything you know. Everything you love. Tell us how you started your journey through the MCU! Tweet with #Avengers + #…
200	0	0	NY, BOS, PHL, DC, PGH, ATL, CHI, VEGAS, SF, LA 👋 The wait is over, Infinity War is here 🙌 Tweet #Avengers… https://t.co/c8fbq42dhW
201	2	0	RT @CaptainAmerica: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/BA6hpJofaT…
202	0	0	10 days 
#Avengers #InfinityWar
 https://t.co/EzRdpodefX
203	0	0	@MarvelStudios @gofooji Started my journey with Iron Man! #Avengers + #InfinityWar
204	1	0	@gofooji #Avengers #InfinityWar for a chance to win an Avengers surprise 🎁
205	2	0	RT @CaptainAmerica: In ten days, destiny arrives. Get your tickets to Marvel Studios' @Avengers: #InfinityWar now: https://t.co/BA6hpJofaT…
206	0	0	NY, BOS, PHL, DC, PGH, ATL, CHI, VEGAS, SF, LA 👋 The wait is over, Infinity War is here 🙌 Tweet #Avengers… https://t.co/EhI5UQlpN0
207	0	0	An entire universe. Once and for all #Avengers #InfinityWar
208	1	0	@MarvelStudios Right after Avengers 6 years ago 💙
#Avengers #InfinityWar
209	0	0	Textless Infinity War posters!!! 

#InfinityWar https://t.co/PfNm86HsIp
210	0	0	NY, BOS, PHL, DC, PGH, ATL, CHI, VEGAS, SF, LA 👋 The wait is over, Infinity War is here 🙌 Tweet #Avengers… https://t.co/NWs0m73WZo
211	1	0	RT @MarvelStudios: In 10 Days destiny arrives. Get your tickets to @Avengers: #InfinityWar now: https://t.co/xQsJem15EU https://t.co/7vcnwi…
212	0	0	An entire universe. Once and for all #Avengers #InfinityWar via @gofooji
213	0	0	RT @gofooji: NY, BOS, PHL, DC, PGH, ATL, CHI, VEGAS, SF, LA 👋 The wait is over, Infinity War is here 🙌 Tweet #Avengers #InfinityWar for a c…
214	2	0	RT @Avengers: In ten days, destiny arrives. Get your tickets to Marvel Studios' "Avengers: #InfinityWar" now: https://t.co/kctg8VkHan https…
